temps,distance,m,heart_rate,106,bpm,altitude,1845.6,m,cadence,83,rpm,vertical_speed,0.0,m/s,enhanced_altitude,1845.6,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,m,heart_rate,106,bpm,altitude,1845.6,m,cadence,82,rpm,speed,0.94,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1845.6,m,enhanced_speed,0.94,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.0,m,heart_rate,106,bpm,altitude,1845.6,m,cadence,82,rpm,speed,0.94,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1845.6,m,enhanced_speed,0.94,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8.0,m,heart_rate,105,bpm,altitude,1846.0,m,cadence,82,rpm,speed,2.34,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1846.0,m,enhanced_speed,2.34,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12.0,m,heart_rate,104,bpm,altitude,1846.0,m,cadence,82,rpm,speed,2.34,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1846.0,m,enhanced_speed,2.34,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17.0,m,heart_rate,104,bpm,altitude,1846.1999999999998,m,cadence,82,rpm,speed,2.86,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1846.1999999999998,m,enhanced_speed,2.86,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.0,m,heart_rate,104,bpm,altitude,1846.1999999999998,m,cadence,82,rpm,speed,2.86,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1846.1999999999998,m,enhanced_speed,2.86,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22.0,m,heart_rate,105,bpm,altitude,1846.1999999999998,m,cadence,83,rpm,speed,3.12,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1846.1999999999998,m,enhanced_speed,3.12,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,27.0,m,heart_rate,107,bpm,altitude,1847.0,m,cadence,83,rpm,speed,3.12,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1847.0,m,enhanced_speed,3.12,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31.0,m,heart_rate,108,bpm,altitude,1847.4,m,cadence,83,rpm,speed,3.5,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1847.4,m,enhanced_speed,3.5,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,35.0,m,heart_rate,110,bpm,altitude,1847.8000000000002,m,cadence,84,rpm,speed,4.02,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1847.8000000000002,m,enhanced_speed,4.02,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,41.0,m,heart_rate,110,bpm,altitude,1848.1999999999998,m,cadence,84,rpm,speed,4.02,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1848.1999999999998,m,enhanced_speed,4.02,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46.0,m,heart_rate,111,bpm,altitude,1848.1999999999998,m,cadence,84,rpm,speed,4.26,m/s,vertical_speed,0.02,m/s,enhanced_altitude,1848.1999999999998,m,enhanced_speed,4.26,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,51.0,m,heart_rate,111,bpm,altitude,1847.8000000000002,m,cadence,84,rpm,speed,4.26,m/s,vertical_speed,0.02,m/s,enhanced_altitude,1847.8000000000002,m,enhanced_speed,4.26,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55.0,m,heart_rate,112,bpm,altitude,1847.6,m,cadence,84,rpm,speed,4.28,m/s,vertical_speed,0.02,m/s,enhanced_altitude,1847.6,m,enhanced_speed,4.28,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,59.0,m,heart_rate,112,bpm,altitude,1847.6,m,cadence,84,rpm,speed,4.28,m/s,vertical_speed,0.02,m/s,enhanced_altitude,1847.6,m,enhanced_speed,4.28,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,64.0,m,heart_rate,113,bpm,altitude,1847.1999999999998,m,cadence,84,rpm,speed,4.42,m/s,vertical_speed,0.04,m/s,enhanced_altitude,1847.1999999999998,m,enhanced_speed,4.42,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,68.0,m,heart_rate,113,bpm,altitude,1847.0,m,cadence,84,rpm,speed,4.42,m/s,vertical_speed,0.04,m/s,enhanced_altitude,1847.0,m,enhanced_speed,4.42,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,73.0,m,heart_rate,114,bpm,altitude,1847.0,m,cadence,84,rpm,speed,4.44,m/s,vertical_speed,0.04,m/s,enhanced_altitude,1847.0,m,enhanced_speed,4.44,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,78.0,m,heart_rate,116,bpm,altitude,1847.0,m,cadence,85,rpm,speed,4.44,m/s,vertical_speed,0.06,m/s,enhanced_altitude,1847.0,m,enhanced_speed,4.44,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,82.0,m,heart_rate,116,bpm,altitude,1847.0,m,cadence,85,rpm,speed,4.4,m/s,vertical_speed,0.06,m/s,enhanced_altitude,1847.0,m,enhanced_speed,4.4,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,87.0,m,heart_rate,119,bpm,altitude,1846.8000000000002,m,cadence,85,rpm,speed,4.4,m/s,vertical_speed,0.06,m/s,enhanced_altitude,1846.8000000000002,m,enhanced_speed,4.4,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,91.0,m,heart_rate,119,bpm,altitude,1846.8000000000002,m,cadence,85,rpm,speed,4.52,m/s,vertical_speed,0.08,m/s,enhanced_altitude,1846.8000000000002,m,enhanced_speed,4.52,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
