0.423|0.413,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035035091,s,distance,47.0,m,heart_rate,145,bpm,altitude,1866.4,m,cadence,95,rpm,speed,4.8,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1866.4,m,enhanced_speed,4.8,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.414|0.411|0.408,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035035092,s,position_lat,507228192,semicircles,position_long,24329731,semicircles,distance,47.0,m,heart_rate,147,bpm,altitude,1866.1999999999998,m,cadence,95,rpm,speed,4.8,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1866.1999999999998,m,enhanced_speed,4.8,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.407|0.401,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035035093,s,position_lat,507227761,semicircles,position_long,24329195,semicircles,distance,58.0,m,heart_rate,149,bpm,altitude,1866.0,m,cadence,95,rpm,speed,5.14,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1866.0,m,enhanced_speed,5.14,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.403|0.401|0.396,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035035094,s,distance,64.0,m,heart_rate,151,bpm,altitude,1866.0,m,cadence,95,rpm,speed,5.14,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1866.0,m,enhanced_speed,5.14,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.397|0.39,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035035095,s,position_lat,507226833,semicircles,position_long,24328204,semicircles,distance,64.0,m,heart_rate,152,bpm,altitude,1865.6,m,cadence,94,rpm,speed,5.26,m/s,vertical_speed,0.0,m/s,enhanced_altitude,1865.6,m,enhanced_speed,5.26,m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.394|0.396|0.388,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
