temps,fc,vitesse,altitude,distance,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber
30,152,2.70600009,1862,291.2799988,152,2.70600009,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
31,154,2.762000084,1862.599976,303.1499939,154,2.762000084,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
32,154,2.762000084,1863.199951,308.0899963,154,2.762000084,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
33,153,2.762000084,1863.800049,310.6700134,153,2.762000084,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
34,155,2.753000021,1865,318,155,2.753000021,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
35,156,2.733999968,1865.800049,325.7600098,156,2.733999968,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
36,156,2.724999905,1866.400024,331.4299927,156,2.724999905,82,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
37,157,2.724999905,1867.599976,336.2600098,157,2.724999905,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
38,157,2.70600009,1868.400024,341.1499939,157,2.70600009,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
39,157,2.70600009,1868.599976,342.6499939,157,2.70600009,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
40,157,2.621999979,1869.400024,352.9700012,157,2.621999979,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
41,156,2.641000032,1869.800049,367.0700073,156,2.641000032,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
42,157,2.650000095,1870,369.5799866,157,2.650000095,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
43,156,2.631000042,1871.400024,381.2099915,156,2.631000042,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
44,157,2.631000042,1872,382.5700073,157,2.631000042,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
45,157,2.631000042,1872.599976,384.1199951,157,2.631000042,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
46,157,2.612999916,1873,385.230011,157,2.612999916,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
47,157,2.602999926,1873.599976,389.3299866,157,2.602999926,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
48,158,2.565999985,1874,394.0100098,158,2.565999985,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
49,158,2.546999931,1874.800049,398.1199951,158,2.546999931,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
50,159,2.388999939,1875.599976,405.5700073,159,2.388999939,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
51,159,2.332999945,1876,407.1700134,159,2.332999945,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
52,159,2.26699996,1877,409.6700134,159,2.26699996,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
53,159,2.210999966,1878,411.230011,159,2.210999966,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
54,159,2.137000084,1878.199951,412.7099915,159,2.137000084,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
55,159,2.089999914,1878.599976,414.769989,159,2.089999914,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
56,160,2.08100009,1879.199951,420.1199951,160,2.08100009,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
57,160,2.098999977,1879.800049,422.9599915,160,2.098999977,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
58,161,2.193000078,1880.199951,428.0499878,161,2.193000078,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
59,161,2.174000025,1881.199951,443.1099854,161,2.174000025,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
60,160,2.154999971,1881.400024,447.0400085,160,2.154999971,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
61,160,2.098999977,1882.800049,452.8500061,160,2.098999977,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
62,159,2.089999914,1883,458.0299988,159,2.089999914,78,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
63,159,2.145999908,1883.599976,471.7900085,159,2.145999908,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
64,158,2.183000088,1884.199951,477.6900024,158,2.183000088,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
65,159,2.230000019,1885.400024,484.3999939,159,2.230000019,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
66,159,2.210999966,1885.400024,486.8900146,159,2.210999966,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
67,159,2.210999966,1886,492.1700134,159,2.210999966,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
68,159,2.220999956,1886.599976,498.9299927,159,2.220999956,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
69,159,2.201999903,1887,501.2999878,159,2.201999903,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
70,160,2.201999903,1887.800049,507.6600037,160,2.201999903,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
71,160,2.407000065,1888.800049,519.1500244,160,2.407000065,79,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
72,160,2.50999999,1890,532.1400146,160,2.50999999,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
73,160,2.50999999,1890.199951,534.8499756,160,2.50999999,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
74,161,2.565999985,1891.199951,545.2600098,161,2.565999985,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
75,160,2.546999931,1891.400024,547.8400269,160,2.546999931,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
76,161,2.538000107,1892.800049,555.539978,161,2.538000107,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
77,161,2.546999931,1893.199951,563.789978,161,2.546999931,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
78,160,2.538000107,1894,571.7700195,160,2.538000107,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
79,160,2.565999985,1894,577.5100098,160,2.565999985,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
80,160,2.50999999,1894.400024,591.4400024,160,2.50999999,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
81,160,2.50999999,1894.199951,594.6500244,160,2.50999999,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
82,160,2.585000038,1893.400024,608.3699951,160,2.585000038,80,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
83,160,2.770999908,1894,629.2000122,160,2.770999908,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
84,159,2.855000019,1894.400024,645.960022,159,2.855000019,81,2.654999971,79,84,f?nix 5,3971331814,2697,25,0,0,0,Connect Api,0,0,0,0,en,006-D2449-00
