temps,hr,speed,altitude,distance,activity_type,1,,cadence,1,,power,1,,accumulated_power,1,,step_length,1,,,,,,,
1477,174,3.914,1893.0,5162.5,activity_type,1,,cadence,81,rpm,power,345,watts,accumulated_power,407949,watts,step_length,1450.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.914,m/s
1478,174,3.914,1893.0,5166.0,activity_type,1,,cadence,81,rpm,power,345,watts,accumulated_power,408294,watts,step_length,1450.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.914,m/s
1479,174,3.897,1893.0,5169.5,activity_type,1,,cadence,81,rpm,power,308,watts,accumulated_power,408602,watts,step_length,1440.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.897,m/s
1480,174,3.881,1893.0,5173.0,activity_type,1,,cadence,81,rpm,power,272,watts,accumulated_power,408874,watts,step_length,1440.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.881,m/s
1481,175,3.881,1893.0,5177.0,activity_type,1,,cadence,81,rpm,power,272,watts,accumulated_power,409146,watts,step_length,1440.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.881,m/s
1482,175,3.881,1893.0,5181.0,activity_type,1,,cadence,81,rpm,power,272,watts,accumulated_power,409418,watts,step_length,1440.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.881,m/s
1483,175,3.875,1893.0,5185.0,activity_type,1,,cadence,81,rpm,power,271,watts,accumulated_power,409689,watts,step_length,1430.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.875,m/s
1484,175,3.869,1893.0,5189.0,activity_type,1,,cadence,81,rpm,power,271,watts,accumulated_power,409960,watts,step_length,1430.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.869,m/s
1485,176,3.869,1893.0,5193.0,activity_type,1,,cadence,80,rpm,power,271,watts,accumulated_power,410231,watts,step_length,1430.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.869,m/s
1486,176,3.869,1893.0,5197.0,activity_type,1,,cadence,80,rpm,power,271,watts,accumulated_power,410502,watts,step_length,1440.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.869,m/s
1487,176,3.853,1893.0,5201.5,activity_type,1,,cadence,79,rpm,power,269,watts,accumulated_power,410771,watts,step_length,1430.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.853,m/s
1488,175,3.836,1893.0,5206.0,activity_type,1,,cadence,79,rpm,power,268,watts,accumulated_power,411039,watts,step_length,1420.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.836,m/s
1489,176,3.831,1893.0,5210.5,activity_type,1,,cadence,79,rpm,power,268,watts,accumulated_power,411307,watts,step_length,1420.0,mm,enhanced_altitude,1893.0,m,enhanced_speed,3.831,m/s
1490,176,3.825,1892.0,5215.0,activity_type,1,,cadence,79,rpm,power,268,watts,accumulated_power,411575,watts,step_length,1430.0,mm,enhanced_altitude,1892.0,m,enhanced_speed,3.825,m/s
1491,176,3.833,1892.0,5220.0,activity_type,1,,cadence,80,rpm,power,268,watts,accumulated_power,411843,watts,step_length,1430.0,mm,enhanced_altitude,1892.0,m,enhanced_speed,3.833,m/s
1492,176,3.842,1891.0,5225.0,activity_type,1,,cadence,80,rpm,power,269,watts,accumulated_power,412112,watts,step_length,1440.0,mm,enhanced_altitude,1891.0,m,enhanced_speed,3.842,m/s
1493,176,3.858,1891.0,5230.0,activity_type,1,,cadence,81,rpm,power,258,watts,accumulated_power,412370,watts,step_length,1450.0,mm,enhanced_altitude,1891.0,m,enhanced_speed,3.858,m/s
1494,176,3.875,1891.0,5235.0,activity_type,1,,cadence,82,rpm,power,248,watts,accumulated_power,412618,watts,step_length,1460.0,mm,enhanced_altitude,1891.0,m,enhanced_speed,3.875,m/s
1495,177,3.917,1890.0,5240.0,activity_type,1,,cadence,82,rpm,power,250,watts,accumulated_power,412868,watts,step_length,1460.0,mm,enhanced_altitude,1890.0,m,enhanced_speed,3.917,m/s
1496,177,3.958,1890.0,5245.0,activity_type,1,,cadence,82,rpm,power,253,watts,accumulated_power,413121,watts,step_length,1470.0,mm,enhanced_altitude,1890.0,m,enhanced_speed,3.958,m/s
1497,176,3.958,1889.0,5250.5,activity_type,1,,cadence,83,rpm,power,253,watts,accumulated_power,413374,watts,step_length,1460.0,mm,enhanced_altitude,1889.0,m,enhanced_speed,3.958,m/s
1498,176,3.961,1889.0,5256.0,activity_type,1,,cadence,83,rpm,power,253,watts,accumulated_power,413627,watts,step_length,1450.0,mm,enhanced_altitude,1889.0,m,enhanced_speed,3.961,m/s
1499,175,3.961,1889.0,5261.0,activity_type,1,,cadence,83,rpm,power,233,watts,accumulated_power,413860,watts,step_length,1450.0,mm,enhanced_altitude,1889.0,m,enhanced_speed,3.961,m/s
1500,175,3.961,1888.0,5266.0,activity_type,1,,cadence,84,rpm,power,213,watts,accumulated_power,414073,watts,step_length,1450.0,mm,enhanced_altitude,1888.0,m,enhanced_speed,3.961,m/s
1501,175,4.003,1887.0,5270.5,activity_type,1,,cadence,83,rpm,power,215,watts,accumulated_power,414288,watts,step_length,1450.0,mm,enhanced_altitude,1887.0,m,enhanced_speed,4.003,m/s
1502,174,4.047,1887.0,5275.0,activity_type,1,,cadence,82,rpm,power,218,watts,accumulated_power,414506,watts,step_length,1460.0,mm,enhanced_altitude,1887.0,m,enhanced_speed,4.047,m/s
1503,174,4.047,1886.0,5280.5,activity_type,1,,cadence,82,rpm,power,203,watts,accumulated_power,414709,watts,step_length,1460.0,mm,enhanced_altitude,1886.0,m,enhanced_speed,4.047,m/s
1504,174,4.047,1886.0,5286.0,activity_type,1,,cadence,82,rpm,power,188,watts,accumulated_power,414897,watts,step_length,1460.0,mm,enhanced_altitude,1886.0,m,enhanced_speed,4.047,m/s
1505,174,4.047,1885.0,5291.5,activity_type,1,,cadence,82,rpm,power,188,watts,accumulated_power,415085,watts,step_length,1460.0,mm,enhanced_altitude,1885.0,m,enhanced_speed,4.047,m/s
1506,175,4.047,1885.0,5297.0,activity_type,1,,cadence,82,rpm,power,188,watts,accumulated_power,415273,watts,step_length,1460.0,mm,enhanced_altitude,1885.0,m,enhanced_speed,4.047,m/s
1507,175,4.114,1884.0,5302.0,activity_type,1,,cadence,82,rpm,power,191,watts,accumulated_power,415464,watts,step_length,1490.0,mm,enhanced_altitude,1884.0,m,enhanced_speed,4.114,m/s
1508,174,4.181,1884.0,5307.0,activity_type,1,,cadence,83,rpm,power,194,watts,accumulated_power,415658,watts,step_length,1520.0,mm,enhanced_altitude,1884.0,m,enhanced_speed,4.181,m/s
1509,174,4.181,1884.0,5311.5,activity_type,1,,cadence,83,rpm,power,194,watts,accumulated_power,415852,watts,step_length,1510.0,mm,enhanced_altitude,1884.0,m,enhanced_speed,4.181,m/s
1510,174,4.181,1883.0,5316.0,activity_type,1,,cadence,84,rpm,power,194,watts,accumulated_power,416046,watts,step_length,1510.0,mm,enhanced_altitude,1883.0,m,enhanced_speed,4.181,m/s
1511,174,4.231,1883.0,5320.5,activity_type,1,,cadence,84,rpm,power,196,watts,accumulated_power,416242,watts,step_length,1530.0,mm,enhanced_altitude,1883.0,m,enhanced_speed,4.231,m/s
1512,173,4.283,1882.0,5325.0,activity_type,1,,cadence,84,rpm,power,199,watts,accumulated_power,416441,watts,step_length,1550.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.283,m/s
1513,173,4.283,1882.0,5329.0,activity_type,1,,cadence,83,rpm,power,202,watts,accumulated_power,416643,watts,step_length,1540.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.283,m/s
1514,174,4.283,1882.0,5333.0,activity_type,1,,cadence,82,rpm,power,206,watts,accumulated_power,416849,watts,step_length,1540.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.283,m/s
1515,174,4.386,1882.0,5336.5,activity_type,1,,cadence,81,rpm,power,210,watts,accumulated_power,417059,watts,step_length,1580.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.386,m/s
1516,173,4.489,1882.0,5340.0,activity_type,1,,cadence,81,rpm,power,215,watts,accumulated_power,417274,watts,step_length,1630.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.489,m/s
1517,173,4.5,1882.0,5343.0,activity_type,1,,cadence,81,rpm,power,216,watts,accumulated_power,417490,watts,step_length,1630.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.5,m/s
1518,173,4.511,1882.0,5346.0,activity_type,1,,cadence,81,rpm,power,217,watts,accumulated_power,417707,watts,step_length,1630.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.511,m/s
1519,173,4.464,1882.0,5350.0,activity_type,1,,cadence,81,rpm,power,227,watts,accumulated_power,417934,watts,step_length,1620.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.464,m/s
1520,173,4.419,1882.0,5354.0,activity_type,1,,cadence,82,rpm,power,238,watts,accumulated_power,418172,watts,step_length,1620.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.419,m/s
1521,173,4.358,1882.0,5358.0,activity_type,1,,cadence,82,rpm,power,234,watts,accumulated_power,418406,watts,step_length,1600.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.358,m/s
1522,173,4.3,1882.0,5362.0,activity_type,1,,cadence,82,rpm,power,231,watts,accumulated_power,418637,watts,step_length,1580.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.3,m/s
1523,172,4.225,1882.0,5365.5,activity_type,1,,cadence,82,rpm,power,261,watts,accumulated_power,418898,watts,step_length,1550.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.225,m/s
1524,172,4.153,1882.0,5369.0,activity_type,1,,cadence,82,rpm,power,291,watts,accumulated_power,419189,watts,step_length,1520.0,mm,enhanced_altitude,1882.0,m,enhanced_speed,4.153,m/s
1525,171,4.106,1881.0,5373.5,activity_type,1,,cadence,81,rpm,power,287,watts,accumulated_power,419476,watts,step_length,1500.0,mm,enhanced_altitude,1881.0,m,enhanced_speed,4.106,m/s
1526,171,4.061,1881.0,5378.0,activity_type,1,,cadence,81,rpm,power,284,watts,accumulated_power,419760,watts,step_length,1490.0,mm,enhanced_altitude,1881.0,m,enhanced_speed,4.061,m/s
1527,171,4.028,1881.0,5382.5,activity_type,1,,cadence,80,rpm,power,281,watts,accumulated_power,420041,watts,step_length,1480.0,mm,enhanced_altitude,1881.0,m,enhanced_speed,4.028,m/s
1528,171,3.994,1881.0,5387.0,activity_type,1,,cadence,80,rpm,power,279,watts,accumulated_power,420320,watts,step_length,1470.0,mm,enhanced_altitude,1881.0,m,enhanced_speed,3.994,m/s
1529,171,3.978,1881.0,5392.0,activity_type,1,,cadence,79,rpm,power,278,watts,accumulated_power,420598,watts,step_length,1460.0,mm,enhanced_altitude,1881.0,m,enhanced_speed,3.978,m/s
1530,171,3.961,1880.0,5397.0,activity_type,1,,cadence,79,rpm,power,277,watts,accumulated_power,420875,watts,step_length,1460.0,mm,enhanced_altitude,1880.0,m,enhanced_speed,3.961,m/s
1531,171,3.95,1880.0,5402.0,activity_type,1,,cadence,79,rpm,power,276,watts,accumulated_power,421151,watts,step_length,1460.0,mm,enhanced_altitude,1880.0,m,enhanced_speed,3.95,m/s
1532,171,3.939,1879.0,5407.0,activity_type,1,,cadence,80,rpm,power,276,watts,accumulated_power,421427,watts,step_length,1470.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.939,m/s
1533,172,3.944,1879.0,5411.0,activity_type,1,,cadence,80,rpm,power,259,watts,accumulated_power,421686,watts,step_length,1470.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.944,m/s
1534,172,3.95,1879.0,5415.0,activity_type,1,,cadence,80,rpm,power,242,watts,accumulated_power,421928,watts,step_length,1480.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.95,m/s
1535,172,3.95,1879.0,5419.0,activity_type,1,,cadence,80,rpm,power,242,watts,accumulated_power,422170,watts,step_length,1480.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.95,m/s
1536,171,3.95,1879.0,5423.0,activity_type,1,,cadence,80,rpm,power,242,watts,accumulated_power,422412,watts,step_length,1480.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.95,m/s
1537,171,3.95,1879.0,5427.0,activity_type,1,,cadence,80,rpm,power,242,watts,accumulated_power,422654,watts,step_length,1480.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.95,m/s
1538,171,3.95,1879.0,5431.0,activity_type,1,,cadence,80,rpm,power,242,watts,accumulated_power,422896,watts,step_length,1480.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.95,m/s
1539,172,3.961,1879.0,5435.0,activity_type,1,,cadence,80,rpm,power,232,watts,accumulated_power,423128,watts,step_length,1480.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.961,m/s
1540,172,3.975,1878.0,5439.0,activity_type,1,,cadence,81,rpm,power,223,watts,accumulated_power,423351,watts,step_length,1480.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.975,m/s
1541,172,3.975,1878.0,5443.5,activity_type,1,,cadence,81,rpm,power,223,watts,accumulated_power,423574,watts,step_length,1480.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.975,m/s
1542,172,3.975,1878.0,5448.0,activity_type,1,,cadence,81,rpm,power,223,watts,accumulated_power,423797,watts,step_length,1480.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.975,m/s
1543,172,3.997,1878.0,5452.0,activity_type,1,,cadence,81,rpm,power,229,watts,accumulated_power,424026,watts,step_length,1480.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.997,m/s
1544,172,4.019,1878.0,5456.0,activity_type,1,,cadence,81,rpm,power,235,watts,accumulated_power,424261,watts,step_length,1490.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,4.019,m/s
1545,173,4.019,1878.0,5460.5,activity_type,1,,cadence,81,rpm,power,235,watts,accumulated_power,424496,watts,step_length,1490.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,4.019,m/s
1546,173,4.019,1878.0,5465.0,activity_type,1,,cadence,81,rpm,power,235,watts,accumulated_power,424731,watts,step_length,1490.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,4.019,m/s
1547,174,4.019,1878.0,5470.0,activity_type,1,,cadence,81,rpm,power,235,watts,accumulated_power,424966,watts,step_length,1490.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,4.019,m/s
1548,173,4.019,1878.0,5475.0,activity_type,1,,cadence,81,rpm,power,235,watts,accumulated_power,425201,watts,step_length,1490.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,4.019,m/s
1549,173,4.033,1878.0,5480.0,activity_type,1,,cadence,81,rpm,power,247,watts,accumulated_power,425448,watts,step_length,1490.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,4.033,m/s
1550,173,4.047,1877.0,5485.0,activity_type,1,,cadence,81,rpm,power,259,watts,accumulated_power,425707,watts,step_length,1500.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,4.047,m/s
1551,173,4.047,1877.0,5490.0,activity_type,1,,cadence,81,rpm,power,259,watts,accumulated_power,425966,watts,step_length,1490.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,4.047,m/s
1552,174,4.047,1877.0,5495.0,activity_type,1,,cadence,82,rpm,power,259,watts,accumulated_power,426225,watts,step_length,1490.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,4.047,m/s
1553,174,4.067,1877.0,5499.0,activity_type,1,,cadence,82,rpm,power,260,watts,accumulated_power,426485,watts,step_length,1500.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,4.067,m/s
1554,174,4.086,1877.0,5503.0,activity_type,1,,cadence,82,rpm,power,261,watts,accumulated_power,426746,watts,step_length,1510.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,4.086,m/s
1555,174,4.086,1876.0,5507.0,activity_type,1,,cadence,82,rpm,power,261,watts,accumulated_power,427007,watts,step_length,1500.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,4.086,m/s
1556,174,4.086,1876.0,5511.0,activity_type,1,,cadence,82,rpm,power,261,watts,accumulated_power,427268,watts,step_length,1500.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,4.086,m/s
1557,174,4.086,1875.0,5514.5,activity_type,1,,cadence,82,rpm,power,261,watts,accumulated_power,427529,watts,step_length,1490.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.086,m/s
1558,174,4.086,1875.0,5518.0,activity_type,1,,cadence,81,rpm,power,261,watts,accumulated_power,427790,watts,step_length,1490.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.086,m/s
1559,174,4.114,1875.0,5521.5,activity_type,1,,cadence,81,rpm,power,252,watts,accumulated_power,428042,watts,step_length,1500.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.114,m/s
1560,173,4.144,1875.0,5525.0,activity_type,1,,cadence,81,rpm,power,243,watts,accumulated_power,428285,watts,step_length,1510.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.144,m/s
1561,173,4.178,1875.0,5528.0,activity_type,1,,cadence,81,rpm,power,245,watts,accumulated_power,428530,watts,step_length,1530.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.178,m/s
1562,173,4.211,1875.0,5531.0,activity_type,1,,cadence,81,rpm,power,247,watts,accumulated_power,428777,watts,step_length,1550.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.211,m/s
1563,173,4.189,1875.0,5535.0,activity_type,1,,cadence,82,rpm,power,245,watts,accumulated_power,429022,watts,step_length,1540.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.189,m/s
1564,173,4.167,1875.0,5539.0,activity_type,1,,cadence,82,rpm,power,244,watts,accumulated_power,429266,watts,step_length,1540.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.167,m/s
1565,173,4.131,1875.0,5542.0,activity_type,1,,cadence,82,rpm,power,242,watts,accumulated_power,429508,watts,step_length,1520.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.131,m/s
1566,173,4.097,1875.0,5545.0,activity_type,1,,cadence,82,rpm,power,240,watts,accumulated_power,429748,watts,step_length,1510.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.097,m/s
1567,172,4.069,1875.0,5547.5,activity_type,1,,cadence,82,rpm,power,238,watts,accumulated_power,429986,watts,step_length,1490.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.069,m/s
1568,172,4.044,1875.0,5550.0,activity_type,1,,cadence,82,rpm,power,237,watts,accumulated_power,430223,watts,step_length,1480.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.044,m/s
1569,172,4.017,1875.0,5554.0,activity_type,1,,cadence,82,rpm,power,240,watts,accumulated_power,430463,watts,step_length,1470.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,4.017,m/s
1570,172,3.992,1875.0,5558.0,activity_type,1,,cadence,82,rpm,power,244,watts,accumulated_power,430707,watts,step_length,1460.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.992,m/s
1571,172,3.992,1875.0,5561.0,activity_type,1,,cadence,81,rpm,power,244,watts,accumulated_power,430951,watts,step_length,1460.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.992,m/s
1572,173,3.992,1875.0,5564.0,activity_type,1,,cadence,81,rpm,power,244,watts,accumulated_power,431195,watts,step_length,1460.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.992,m/s
1573,173,3.992,1875.0,5566.5,activity_type,1,,cadence,81,rpm,power,261,watts,accumulated_power,431456,watts,step_length,1460.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.992,m/s
1574,173,3.992,1875.0,5569.0,activity_type,1,,cadence,82,rpm,power,279,watts,accumulated_power,431735,watts,step_length,1460.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.992,m/s
1575,173,3.964,1875.0,5573.0,activity_type,1,,cadence,81,rpm,power,277,watts,accumulated_power,432012,watts,step_length,1450.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.964,m/s
1576,173,3.936,1875.0,5577.0,activity_type,1,,cadence,81,rpm,power,275,watts,accumulated_power,432287,watts,step_length,1440.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.936,m/s
1577,173,3.936,1875.0,5579.5,activity_type,1,,cadence,81,rpm,power,275,watts,accumulated_power,432562,watts,step_length,1440.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.936,m/s
1578,174,3.936,1875.0,5582.0,activity_type,1,,cadence,81,rpm,power,275,watts,accumulated_power,432837,watts,step_length,1440.0,mm,enhanced_altitude,1875.0,m,enhanced_speed,3.936,m/s
1579,174,3.936,1876.0,5584.5,activity_type,1,,cadence,80,rpm,power,275,watts,accumulated_power,433112,watts,step_length,1440.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.936,m/s
1580,174,3.936,1876.0,5587.0,activity_type,1,,cadence,80,rpm,power,275,watts,accumulated_power,433387,watts,step_length,1450.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.936,m/s
1581,174,3.892,1876.0,5591.0,activity_type,1,,cadence,80,rpm,power,272,watts,accumulated_power,433659,watts,step_length,1440.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.892,m/s
1582,174,3.85,1876.0,5595.0,activity_type,1,,cadence,80,rpm,power,269,watts,accumulated_power,433928,watts,step_length,1430.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.85,m/s
1583,175,3.85,1876.0,5599.0,activity_type,1,,cadence,80,rpm,power,269,watts,accumulated_power,434197,watts,step_length,1430.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.85,m/s
1584,175,3.85,1876.0,5603.0,activity_type,1,,cadence,80,rpm,power,269,watts,accumulated_power,434466,watts,step_length,1430.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.85,m/s
1585,175,3.811,1876.0,5606.5,activity_type,1,,cadence,80,rpm,power,266,watts,accumulated_power,434732,watts,step_length,1410.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.811,m/s
1586,175,3.772,1876.0,5610.0,activity_type,1,,cadence,81,rpm,power,264,watts,accumulated_power,434996,watts,step_length,1400.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.772,m/s
1587,175,3.772,1876.0,5613.5,activity_type,1,,cadence,81,rpm,power,264,watts,accumulated_power,435260,watts,step_length,1400.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.772,m/s
1588,175,3.772,1876.0,5617.0,activity_type,1,,cadence,81,rpm,power,264,watts,accumulated_power,435524,watts,step_length,1400.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.772,m/s
1589,175,3.772,1876.0,5621.0,activity_type,1,,cadence,81,rpm,power,264,watts,accumulated_power,435788,watts,step_length,1400.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.772,m/s
1590,175,3.772,1876.0,5625.0,activity_type,1,,cadence,81,rpm,power,264,watts,accumulated_power,436052,watts,step_length,1400.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.772,m/s
1591,175,3.708,1876.0,5629.0,activity_type,1,,cadence,81,rpm,power,259,watts,accumulated_power,436311,watts,step_length,1370.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.708,m/s
1592,175,3.644,1876.0,5633.0,activity_type,1,,cadence,81,rpm,power,255,watts,accumulated_power,436566,watts,step_length,1350.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.644,m/s
1593,175,3.628,1876.0,5636.0,activity_type,1,,cadence,81,rpm,power,254,watts,accumulated_power,436820,watts,step_length,1340.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.628,m/s
1594,175,3.614,1876.0,5639.0,activity_type,1,,cadence,81,rpm,power,253,watts,accumulated_power,437073,watts,step_length,1340.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.614,m/s
1595,174,3.619,1876.0,5643.0,activity_type,1,,cadence,81,rpm,power,253,watts,accumulated_power,437326,watts,step_length,1340.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.619,m/s
1596,174,3.628,1876.0,5647.0,activity_type,1,,cadence,81,rpm,power,254,watts,accumulated_power,437580,watts,step_length,1350.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.628,m/s
1597,174,3.647,1876.0,5651.0,activity_type,1,,cadence,81,rpm,power,255,watts,accumulated_power,437835,watts,step_length,1350.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.647,m/s
1598,175,3.667,1876.0,5655.0,activity_type,1,,cadence,81,rpm,power,257,watts,accumulated_power,438092,watts,step_length,1360.0,mm,enhanced_altitude,1876.0,m,enhanced_speed,3.667,m/s
1599,175,3.675,1877.0,5658.0,activity_type,1,,cadence,81,rpm,power,263,watts,accumulated_power,438355,watts,step_length,1360.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,3.675,m/s
1600,174,3.683,1877.0,5661.0,activity_type,1,,cadence,81,rpm,power,270,watts,accumulated_power,438625,watts,step_length,1360.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,3.683,m/s
1601,174,3.681,1877.0,5664.5,activity_type,1,,cadence,81,rpm,power,270,watts,accumulated_power,438895,watts,step_length,1360.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,3.681,m/s
1602,174,3.681,1877.0,5668.0,activity_type,1,,cadence,81,rpm,power,270,watts,accumulated_power,439165,watts,step_length,1360.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,3.681,m/s
1603,174,3.678,1877.0,5671.0,activity_type,1,,cadence,81,rpm,power,289,watts,accumulated_power,439454,watts,step_length,1350.0,mm,enhanced_altitude,1877.0,m,enhanced_speed,3.678,m/s
1604,174,3.675,1878.0,5674.0,activity_type,1,,cadence,81,rpm,power,309,watts,accumulated_power,439763,watts,step_length,1350.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.675,m/s
1605,174,3.664,1878.0,5676.0,activity_type,1,,cadence,81,rpm,power,308,watts,accumulated_power,440071,watts,step_length,1350.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.664,m/s
1606,174,3.653,1878.0,5678.0,activity_type,1,,cadence,82,rpm,power,307,watts,accumulated_power,440378,watts,step_length,1350.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.653,m/s
1607,174,3.653,1878.0,5680.5,activity_type,1,,cadence,82,rpm,power,307,watts,accumulated_power,440685,watts,step_length,1350.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.653,m/s
1608,174,3.653,1878.0,5683.0,activity_type,1,,cadence,82,rpm,power,307,watts,accumulated_power,440992,watts,step_length,1350.0,mm,enhanced_altitude,1878.0,m,enhanced_speed,3.653,m/s
1609,174,3.653,1879.0,5686.5,activity_type,1,,cadence,81,rpm,power,314,watts,accumulated_power,441306,watts,step_length,1340.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.653,m/s
1610,174,3.653,1879.0,5690.0,activity_type,1,,cadence,81,rpm,power,322,watts,accumulated_power,441628,watts,step_length,1340.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.653,m/s
1611,174,3.636,1879.0,5693.0,activity_type,1,,cadence,81,rpm,power,320,watts,accumulated_power,441948,watts,step_length,1330.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.636,m/s
1612,174,3.619,1879.0,5696.0,activity_type,1,,cadence,81,rpm,power,319,watts,accumulated_power,442267,watts,step_length,1330.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.619,m/s
1613,174,3.619,1879.0,5699.0,activity_type,1,,cadence,81,rpm,power,319,watts,accumulated_power,442586,watts,step_length,1330.0,mm,enhanced_altitude,1879.0,m,enhanced_speed,3.619,m/s
1614,174,3.619,1880.0,5702.0,activity_type,1,,cadence,81,rpm,power,319,watts,accumulated_power,442905,watts,step_length,1330.0,mm,enhanced_altitude,1880.0,m,enhanced_speed,3.619,m/s
