temps,hr,speed,altitude,distance,activity_type,1,,cadence,1,,power,1,,accumulated_power,1,,step_length,1,,,,,,,
32,167,4.064,1826.0,166.0,activity_type,1,,cadence,85,rpm,power,284,watts,accumulated_power,8564,watts,step_length,1450.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.064,m/s
33,167,4.064,1826.0,171.0,activity_type,1,,cadence,85,rpm,power,313,watts,accumulated_power,8877,watts,step_length,1440.0,mm,enhanced_altitude,1826.0,m,enhanced_speed,4.064,m/s
34,166,4.064,1827.0,176.0,activity_type,1,,cadence,86,rpm,power,342,watts,accumulated_power,9219,watts,step_length,1440.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.064,m/s
35,166,4.064,1827.0,180.0,activity_type,1,,cadence,86,rpm,power,342,watts,accumulated_power,9561,watts,step_length,1440.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.064,m/s
36,166,4.064,1827.0,184.0,activity_type,1,,cadence,87,rpm,power,342,watts,accumulated_power,9903,watts,step_length,1440.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.064,m/s
37,166,4.092,1827.0,188.5,activity_type,1,,cadence,86,rpm,power,344,watts,accumulated_power,10247,watts,step_length,1440.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.092,m/s
38,166,4.119,1827.0,193.0,activity_type,1,,cadence,86,rpm,power,346,watts,accumulated_power,10593,watts,step_length,1440.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.119,m/s
39,167,4.119,1827.0,197.0,activity_type,1,,cadence,86,rpm,power,317,watts,accumulated_power,10910,watts,step_length,1430.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.119,m/s
40,167,4.119,1827.0,201.0,activity_type,1,,cadence,86,rpm,power,288,watts,accumulated_power,11198,watts,step_length,1430.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.119,m/s
41,167,4.153,1827.0,203.5,activity_type,1,,cadence,86,rpm,power,290,watts,accumulated_power,11488,watts,step_length,1440.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.153,m/s
42,168,4.189,1827.0,206.0,activity_type,1,,cadence,85,rpm,power,293,watts,accumulated_power,11781,watts,step_length,1460.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.189,m/s
43,169,4.189,1827.0,208.5,activity_type,1,,cadence,85,rpm,power,293,watts,accumulated_power,12074,watts,step_length,1460.0,mm,enhanced_altitude,1827.0,m,enhanced_speed,4.189,m/s
44,169,4.189,1828.0,211.0,activity_type,1,,cadence,85,rpm,power,293,watts,accumulated_power,12367,watts,step_length,1460.0,mm,enhanced_altitude,1828.0,m,enhanced_speed,4.189,m/s
45,169,4.189,1828.0,213.5,activity_type,1,,cadence,84,rpm,power,293,watts,accumulated_power,12660,watts,step_length,1460.0,mm,enhanced_altitude,1828.0,m,enhanced_speed,4.189,m/s
46,169,4.189,1828.0,216.0,activity_type,1,,cadence,83,rpm,power,293,watts,accumulated_power,12953,watts,step_length,1470.0,mm,enhanced_altitude,1828.0,m,enhanced_speed,4.189,m/s
47,169,4.183,1828.0,218.5,activity_type,1,,cadence,82,rpm,power,292,watts,accumulated_power,13245,watts,step_length,1470.0,mm,enhanced_altitude,1828.0,m,enhanced_speed,4.183,m/s
48,169,4.178,1828.0,221.0,activity_type,1,,cadence,82,rpm,power,292,watts,accumulated_power,13537,watts,step_length,1470.0,mm,enhanced_altitude,1828.0,m,enhanced_speed,4.178,m/s
49,169,4.178,1829.0,223.5,activity_type,1,,cadence,82,rpm,power,321,watts,accumulated_power,13858,watts,step_length,1480.0,mm,enhanced_altitude,1829.0,m,enhanced_speed,4.178,m/s
50,170,4.178,1829.0,226.0,activity_type,1,,cadence,82,rpm,power,351,watts,accumulated_power,14209,watts,step_length,1500.0,mm,enhanced_altitude,1829.0,m,enhanced_speed,4.178,m/s
51,170,4.108,1829.0,228.5,activity_type,1,,cadence,82,rpm,power,345,watts,accumulated_power,14554,watts,step_length,1480.0,mm,enhanced_altitude,1829.0,m,enhanced_speed,4.108,m/s
52,170,4.042,1830.0,231.0,activity_type,1,,cadence,82,rpm,power,340,watts,accumulated_power,14894,watts,step_length,1470.0,mm,enhanced_altitude,1830.0,m,enhanced_speed,4.042,m/s
53,170,4.042,1830.0,233.5,activity_type,1,,cadence,82,rpm,power,365,watts,accumulated_power,15259,watts,step_length,1470.0,mm,enhanced_altitude,1830.0,m,enhanced_speed,4.042,m/s
54,170,4.042,1831.0,236.0,activity_type,1,,cadence,82,rpm,power,390,watts,accumulated_power,15649,watts,step_length,1470.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,4.042,m/s
55,171,3.386,1831.0,238.5,activity_type,1,,cadence,82,rpm,power,327,watts,accumulated_power,15976,watts,step_length,1230.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,3.386,m/s
56,172,2.731,1831.0,241.0,activity_type,1,,cadence,82,rpm,power,264,watts,accumulated_power,16240,watts,step_length,990.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.731,m/s
57,172,2.689,1831.0,243.5,activity_type,1,,cadence,82,rpm,power,260,watts,accumulated_power,16500,watts,step_length,970.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.689,m/s
58,172,2.647,1831.0,246.0,activity_type,1,,cadence,82,rpm,power,256,watts,accumulated_power,16756,watts,step_length,960.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.647,m/s
59,172,2.617,1831.0,249.0,activity_type,1,,cadence,82,rpm,power,253,watts,accumulated_power,17009,watts,step_length,950.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.617,m/s
60,172,2.589,1831.0,252.0,activity_type,1,,cadence,82,rpm,power,250,watts,accumulated_power,17259,watts,step_length,940.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.589,m/s
61,172,2.578,1831.0,255.0,activity_type,1,,cadence,82,rpm,power,249,watts,accumulated_power,17508,watts,step_length,940.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.578,m/s
62,172,2.569,1831.0,258.0,activity_type,1,,cadence,82,rpm,power,248,watts,accumulated_power,17756,watts,step_length,940.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.569,m/s
63,172,2.572,1831.0,260.5,activity_type,1,,cadence,82,rpm,power,243,watts,accumulated_power,17999,watts,step_length,940.0,mm,enhanced_altitude,1831.0,m,enhanced_speed,2.572,m/s
64,172,2.578,1832.0,263.0,activity_type,1,,cadence,82,rpm,power,238,watts,accumulated_power,18237,watts,step_length,940.0,mm,enhanced_altitude,1832.0,m,enhanced_speed,2.578,m/s
65,173,2.583,1832.0,266.0,activity_type,1,,cadence,82,rpm,power,238,watts,accumulated_power,18475,watts,step_length,940.0,mm,enhanced_altitude,1832.0,m,enhanced_speed,2.583,m/s
66,173,2.589,1832.0,269.0,activity_type,1,,cadence,82,rpm,power,239,watts,accumulated_power,18714,watts,step_length,950.0,mm,enhanced_altitude,1832.0,m,enhanced_speed,2.589,m/s
67,173,2.603,1832.0,272.0,activity_type,1,,cadence,82,rpm,power,240,watts,accumulated_power,18954,watts,step_length,950.0,mm,enhanced_altitude,1832.0,m,enhanced_speed,2.603,m/s
68,173,2.617,1832.0,275.0,activity_type,1,,cadence,82,rpm,power,241,watts,accumulated_power,19195,watts,step_length,960.0,mm,enhanced_altitude,1832.0,m,enhanced_speed,2.617,m/s
69,172,2.639,1833.0,278.0,activity_type,1,,cadence,82,rpm,power,238,watts,accumulated_power,19433,watts,step_length,960.0,mm,enhanced_altitude,1833.0,m,enhanced_speed,2.639,m/s
70,172,2.664,1833.0,281.0,activity_type,1,,cadence,83,rpm,power,235,watts,accumulated_power,19668,watts,step_length,970.0,mm,enhanced_altitude,1833.0,m,enhanced_speed,2.664,m/s
71,172,2.694,1833.0,284.5,activity_type,1,,cadence,83,rpm,power,237,watts,accumulated_power,19905,watts,step_length,980.0,mm,enhanced_altitude,1833.0,m,enhanced_speed,2.694,m/s
